R,Dbub
0.0006,0.00001
0.0018,0.00001
0.00305,0.00001
0.0043,0.00001
0.0055,0.00001
0.0067,0.00001
0.0079,0.00001
0.00915,0.00001
0.0104,0.00001
0.0116,0.00001
0.0128,0.00001
0.014,0.00001
0.01525,0.00001
0.0165,0.00001
0.0177,0.00001
0.0189,0.00001
0.02015,0.00001
0.0214,0.00001
0.0226,0.00001
0.0238,0.00001
0.025,0.00001
0.02625,0.00001
0.0275,0.00001
0.0287,0.00001
0.0299,0.00001
0.0311,0.00001
0.03235,0.00001
0.0336,0.00001
0.0348,0.00001
0.036,0.00001
0.0372,0.00001
0.03845,0.00001
0.0397,0.00001
0.0409,0.00001
0.0421,0.00001
0.0433,0.00001
0.04455,0.00001
0.0458,0.00001
0.047,0.003753439
0.0482,0.003678648
0.0494,0.003615672
0.05065,0.003894203
0.0519,0.004333779
0.0531,0.004727811
0.0543,0.005574313
0.0555,0.006490264
0.05675,0.007329132
0.058,0.007849331
0.0592,0.008316234
0.0604,0.009077676
0.06165,0.00978635
0.0629,0.010388048
0.0641,0.010886591
0.0653,0.011291016
0.0665,0.011876638
0.06775,0.012351593
0.069,0.012784133
0.0702,0.013158947
0.0714,0.013404969
0.0726,0.013590681
0.07385,0.013683374
0.0751,0.013756903
0.0763,0.013801283
0.0775,0.013802714
0.0787,0.013780944
0.07995,0.013733838
0.0812,0.01366409
0.0824,0.013584882
0.0836,0.013508791
0.0848,0.013401323
0.08605,0.013316412
0.0873,0.013213675
0.0885,0.013090407
0.0897,0.01297698
0.0909,0.012802645
0.09215,0.012635457
0.0934,0.012405196
0.0946,0.012097643
0.0958,0.011892745
0.09705,0.011866353
