R,Dbub
0.0006,0
0.0018,0
0.00305,0
0.0043,0
0.0055,0
0.0067,0
0.0079,0
0.00915,0
0.0104,0
0.0116,0
0.0128,0
0.014,0
0.01525,0
0.0165,0
0.0177,0
0.0189,0
0.02015,0
0.0214,0
0.0226,0
0.0238,0
0.025,0
0.02625,0
0.0275,0
0.0287,0
0.0299,0
0.0311,0
0.03235,0
0.0336,0
0.0348,0
0.036,0
0.0372,0.01325
0.03845,0.011892876
0.0397,0.010805724
0.0409,0.011402836
0.0421,0.011199209
0.0433,0.012045147
0.04455,0.012803745
0.0458,0.013549987
0.047,0.013970971
0.0482,0.013751434
0.0494,0.013130933
0.05065,0.012719703
0.0519,0.012277774
0.0531,0.012111802
0.0543,0.011812755
0.0555,0.011870788
0.05675,0.012023024
0.058,0.012198052
0.0592,0.012132181
0.0604,0.012100399
0.06165,0.012216635
0.0629,0.012397516
0.0641,0.012560705
0.0653,0.012728711
0.0665,0.012969507
0.06775,0.013239769
0.069,0.013574277
0.0702,0.013893276
0.0714,0.014120013
0.0726,0.014358233
0.07385,0.014472995
0.0751,0.014564055
0.0763,0.014660537
0.0775,0.014689017
0.0787,0.014696265
0.07995,0.014667357
0.0812,0.014603924
0.0824,0.014525753
0.0836,0.014458087
0.0848,0.014375214
0.08605,0.014297991
0.0873,0.014228315
0.0885,0.014152044
0.0897,0.014083622
0.0909,0.013993081
0.09215,0.01391648
0.0934,0.013784557
0.0946,0.013610908
0.0958,0.013498155
0.09705,0.013478348
