R,Dbub
0.0006,0
0.0018,0
0.00305,0
0.0043,0
0.0055,0
0.0067,0
0.0079,0
0.00915,0
0.0104,0
0.0116,0
0.0128,0
0.014,0
0.01525,0
0.0165,0
0.0177,0
0.0189,0
0.02015,0
0.0214,0
0.0226,0
0.0238,0.0015
0.025,0.001501186
0.02625,0.001552604
0.0275,0.006610618
0.0287,0.009228544
0.0299,0.009034833
0.0311,0.009308801
0.03235,0.009276753
0.0336,0.009409858
0.0348,0.00957001
0.036,0.009371165
0.0372,0.008784795
0.03845,0.008510993
0.0397,0.00832247
0.0409,0.008110842
0.0421,0.008080925
0.0433,0.008131452
0.04455,0.008415133
0.0458,0.008421578
0.047,0.008656342
0.0482,0.008538
0.0494,0.008556672
0.05065,0.008795879
0.0519,0.008976615
0.0531,0.009437783
0.0543,0.010047836
0.0555,0.010757877
0.05675,0.01153492
0.058,0.012365997
0.0592,0.013013073
0.0604,0.013729756
0.06165,0.014269235
0.0629,0.014702924
0.0641,0.015179687
0.0653,0.01548617
0.0665,0.015777254
0.06775,0.016019935
0.069,0.01620686
0.0702,0.016338212
0.0714,0.016424903
0.0726,0.016541742
0.07385,0.016601281
0.0751,0.016625675
0.0763,0.016632308
0.0775,0.016607584
0.0787,0.016553664
0.07995,0.016494797
0.0812,0.016413045
0.0824,0.016318212
0.0836,0.016237257
0.0848,0.016128073
0.08605,0.016027672
0.0873,0.015949439
0.0885,0.015861943
0.0897,0.015779943
0.0909,0.015675126
0.09215,0.015577999
0.0934,0.015428169
0.0946,0.015205204
0.0958,0.015035174
0.09705,0.015018685
