R,Dbub
0.0006,0.007
0.0018,0.007
0.00305,0.007
0.0043,0.007
0.0055,0.006989061
0.0067,0.00675423
0.0079,0.006502002
0.00915,0.006450436
0.0104,0.006570988
0.0116,0.006460297
0.0128,0.006135101
0.014,0.005703616
0.01525,0.005351238
0.0165,0.005163848
0.0177,0.005353803
0.0189,0.0063648
0.02015,0.006629822
0.0214,0.007396799
0.0226,0.008064834
0.0238,0.008382356
0.025,0.008476969
0.02625,0.008494807
0.0275,0.008357341
0.0287,0.008281694
0.0299,0.00835114
0.0311,0.008487291
0.03235,0.008639404
0.0336,0.009049741
0.0348,0.009581832
0.036,0.010138668
0.0372,0.010756703
0.03845,0.010887444
0.0397,0.011545116
0.0409,0.011706984
0.0421,0.012235484
0.0433,0.012807032
0.04455,0.013156076
0.0458,0.013539209
0.047,0.013832548
0.0482,0.013999016
0.0494,0.014196498
0.05065,0.014323013
0.0519,0.014340663
0.0531,0.01452289
0.0543,0.014684404
0.0555,0.014889583
0.05675,0.015126698
0.058,0.015363698
0.0592,0.015547027
0.0604,0.015756836
0.06165,0.015922397
0.0629,0.016042557
0.0641,0.016185613
0.0653,0.016281233
0.0665,0.016379542
0.06775,0.016479233
0.069,0.016539388
0.0702,0.016599061
0.0714,0.016656382
0.0726,0.01669503
0.07385,0.016719382
0.0751,0.016729626
0.0763,0.01672095
0.0775,0.016705566
0.0787,0.016668127
0.07995,0.016617014
0.0812,0.016557632
0.0824,0.016471582
0.0836,0.016375154
0.0848,0.016239906
0.08605,0.016130911
0.0873,0.016021856
0.0885,0.015916036
0.0897,0.015829045
0.0909,0.015716806
0.09215,0.015599086
0.0934,0.015386519
0.0946,0.014903567
0.0958,0.014450034
0.09705,0.014388381
