R,Dbub
0.0006,0.003911347
0.0018,0.003911347
0.00305,0.004006767
0.0043,0.00410891
0.0055,0.004264511
0.0067,0.004537833
0.0079,0.004698597
0.00915,0.005344701
0.0104,0.006202853
0.0116,0.006477767
0.0128,0.007796091
0.014,0.008362388
0.01525,0.009468838
0.0165,0.010424595
0.0177,0.010652607
0.0189,0.0108915
0.02015,0.010771009
0.0214,0.010832295
0.0226,0.011120547
0.0238,0.011348937
0.025,0.011570895
0.02625,0.01174511
0.0275,0.012088347
0.0287,0.012292548
0.0299,0.012376305
0.0311,0.012645379
0.03235,0.012780088
0.0336,0.013103411
0.0348,0.013223863
0.036,0.013556906
0.0372,0.014106932
0.03845,0.014220273
0.0397,0.014344063
0.0409,0.014549324
0.0421,0.014600783
0.0433,0.014628974
0.04455,0.014738885
0.0458,0.014686308
0.047,0.01474485
0.0482,0.014815336
0.0494,0.014871071
0.05065,0.014937024
0.0519,0.014996106
0.0531,0.015098628
0.0543,0.015222764
0.0555,0.015333263
0.05675,0.015420701
0.058,0.015576036
0.0592,0.01563079
0.0604,0.015753254
0.06165,0.015810142
0.0629,0.015839275
0.0641,0.01588709
0.0653,0.01588875
0.0665,0.015878406
0.06775,0.015853024
0.069,0.015821381
0.0702,0.015792793
0.0714,0.015766682
0.0726,0.015759242
0.07385,0.0157555
0.0751,0.01570894
0.0763,0.015651108
0.0775,0.015584137
0.0787,0.015472786
0.07995,0.015391494
0.0812,0.015347176
0.0824,0.015263932
0.0836,0.015220326
0.0848,0.015088224
0.08605,0.01497213
0.0873,0.01482219
0.0885,0.014636786
0.0897,0.01453296
0.0909,0.0143652
0.09215,0.014105563
0.0934,0.013493835
0.0946,0.012491155
0.0958,0.011578731
0.09705,0.011459202
