R,Dbub
0.0006,0.003880101
0.0018,0.003880101
0.00305,0.004714298
0.0043,0.005494064
0.0055,0.007000146
0.0067,0.0125734
0.0079,0.015617564
0.00915,0.01664597
0.0104,0.016806922
0.0116,0.016806575
0.0128,0.016835089
0.014,0.016776334
0.01525,0.016832409
0.0165,0.016976096
0.0177,0.017004867
0.0189,0.016910344
0.02015,0.016956977
0.0214,0.016947087
0.0226,0.016889003
0.0238,0.016819375
0.025,0.016592947
0.02625,0.016437087
0.0275,0.016357025
0.0287,0.016344097
0.0299,0.01632495
0.0311,0.016198586
0.03235,0.01615694
0.0336,0.016129693
0.0348,0.015983264
0.036,0.015798659
0.0372,0.015566691
0.03845,0.015439757
0.0397,0.015254104
0.0409,0.015151855
0.0421,0.015040108
0.0433,0.014916969
0.04455,0.014923071
0.0458,0.014966236
0.047,0.015033336
0.0482,0.015117448
0.0494,0.015199769
0.05065,0.015251805
0.0519,0.015335054
0.0531,0.015389567
0.0543,0.015441104
0.0555,0.015446329
0.05675,0.015382241
0.058,0.015295624
0.0592,0.015179435
0.0604,0.015012974
0.06165,0.014856974
0.0629,0.014738158
0.0641,0.014579847
0.0653,0.014415541
0.0665,0.014111557
0.06775,0.013810782
0.069,0.01354062
0.0702,0.013198003
0.0714,0.012921725
0.0726,0.012636017
0.07385,0.012340316
0.0751,0.012115205
0.0763,0.011814421
0.0775,0.011431253
0.0787,0.011140059
0.07995,0.010805372
0.0812,0.010576181
0.0824,0.010400933
0.0836,0.010206809
0.0848,0.009998287
0.08605,0.00988985
0.0873,0.009592621
0.0885,0.00916917
0.0897,0.008701892
0.0909,0.007746407
0.09215,0.006937854
0.0934,0.005689774
0.0946,0.003861674
0.0958,0.003287362
0.09705,0.003279489
