Var1,Var2
0.6,0
1.8,0
3.05,0
4.3,0
5.5,0
6.7,0
7.9,0
9.15,0
10.4,0
11.6,0
12.8,0
14,0
15.25,0
16.5,0
17.7,0
18.9,0
20.15,0
21.4,0
22.6,0
23.8,2
25,2
26.25,2
27.5,2
28.7,2
29.9,2
31.1,2
32.35,2
33.6,2
34.8,3.65337860084465
36,4.16297022824256
37.2,4.21223225
38.45,4.62536765615808
39.7,5.05711573572107
40.9,6.02587349353163
42.1,6.3393899776525
43.3,6.69385017346254
44.55,6.97540888114778
45.8,7.18432748358187
47,7.63448156724079
48.2,8.295326375
49.4,8.83049685274843
50.65,9.320978625
51.9,9.5468326015837
53.1,9.61928284517929
54.3,9.65316102420974
55.5,9.76866817816591
56.75,9.98814856842572
58,10.1991474364343
59.2,10.4452129160903
60.4,10.6575090162545
61.65,10.8164989375
62.9,11.03477625
64.1,11.2806830548292
65.3,11.4462524059417
66.5,11.6381495904626
67.75,11.7491383758616
69,11.8002126501063
70.2,11.840412102397
71.4,11.8501895999526
72.6,11.839949125
73.85,11.8372936438532
75.1,11.8074301199301
76.3,11.7648216138838
77.5,11.7301111825278
78.7,11.6805723229292
79.95,11.6383442154139
81.2,11.5874866656283
82.4,11.5301728825432
83.6,11.4851847574076
84.8,11.4222768361384
86.05,11.3675372206157
87.3,11.3097984551512
88.5,11.2431522517119
89.7,11.1902379823215
90.9,11.1411970977993
92.15,11.0579363460318
93.4,10.8850095237429
94.6,10.5779924415057
95.8,10.3171911539044
97.05,10.275094075047
