Var1,Var2
0.6,0
1.8,0
3.05,0
4.3,0
5.5,0
6.7,0
7.9,0
9.15,0
10.4,0
11.6,0
12.8,0
14,0
15.25,0
16.5,0
17.7,0
18.9,0
20.15,0
21.4,0
22.6,0
23.8,0
25,0
26.25,0
27.5,3.5
28.7,4.63384775
29.9,5.10717275
31.1,5.20073669981583
32.35,5.23457931635517
33.6,5.34083325
34.8,5.01327725331931
36,5.0909454375
37.2,5.2097498125
38.45,5.50913287043356
39.7,5.57721598069601
40.9,5.5007931873017
42.1,5.31520295380074
43.3,5.00534530982735
44.55,4.94016463995884
45.8,4.85752153561961
47,4.87031775
48.2,4.9804256875
49.4,5.08040395979802
50.65,5.23796819050795
51.9,5.45077534941849
53.1,5.57862877318561
54.3,5.80108301141699
55.5,5.99329194085403
56.75,6.12676484507363
58,6.282483875
59.2,6.4542185343361
60.4,6.69934552450914
61.65,6.92140780894414
62.9,7.1173112168278
64.1,7.33624785562393
65.3,7.50880337059832
66.5,7.66960958259761
67.75,7.82841101591102
69,7.9638575715356
70.2,8.07629308685346
71.4,8.1521259375
72.6,8.22225536112768
73.85,8.25532137899104
75.1,8.26395881947941
76.3,8.26001511748866
77.5,8.23699062825234
78.7,8.18813310953328
79.95,8.123805875
81.2,8.05086548728363
82.4,7.96524346524346
83.6,7.88034653258663
84.8,7.77762781940696
86.05,7.6813238358452
87.3,7.56843398882549
88.5,7.43031673257919
89.7,7.3163571875
90.9,7.15670003917501
92.15,7.01993187998297
93.4,6.8080533125
94.6,6.544583375
95.8,6.3716505287379
97.05,6.34705023602512
