Var1,Var2
0.6,0
1.8,0
3.05,0
4.3,0
5.5,0
6.7,0
7.9,0
9.15,0
10.4,0
11.6,0
12.8,0
14,0
15.25,0
16.5,0
17.7,0
18.9,0
20.15,0
21.4,0
22.6,0
23.8,7
25,7
26.25,6.476286375
27.5,6.6294921875
28.7,6.6988470625
29.9,6.7063164375
31.1,6.74198662700334
32.35,6.5356163125
33.6,6.32294176823544
34.8,6.50562356390589
36,6.9001776000444
37.2,7.35139777534944
38.45,7.5034089982955
39.7,7.90068242465879
40.9,7.97555331861167
42.1,8.14356411571794
43.3,8.51833618291595
44.55,8.87090031045016
45.8,9.07292566926859
47,9.25947487736872
48.2,9.41824164543959
49.4,9.42374577437289
50.65,9.3047463886866
51.9,8.95988211264736
53.1,8.760435375
54.3,8.57231633057908
55.5,8.43343254992558
56.75,8.35866977716745
58,8.32159450909451
59.2,8.29860551215138
60.4,8.24154488345512
61.65,8.1586480625
62.9,8.11967196475398
64.1,8.05653071576535
65.3,8.08002827000707
66.5,8.08833087125184
67.75,8.12711959533969
69,8.15122813811407
70.2,8.1235852183963
71.4,8.0968536007866
72.6,8.09048741487815
73.85,8.121878125
75.1,8.15078492460754
76.3,8.1221615
77.5,8.07835158582421
78.7,8.05405197297401
79.95,7.92526584986707
81.2,7.79002055249486
82.4,7.69096295225926
83.6,7.4314446875
84.8,6.96781117945279
86.05,6.61010722247319
87.3,6.2925399375
88.5,5.87849015537746
89.7,5.47267028517028
90.9,5.0261661875
92.15,4.553869125
93.4,4.05988396744198
94.6,3.6242304375
95.8,3.46143299035825
97.05,3.46680748340374
