Var1,Var2
0.6,0
1.8,0
3.05,0
4.3,0
5.5,0
6.7,0
7.9,0
9.15,0
10.4,0
11.6,0
12.8,0
14,0
15.25,0
16.5,0
17.7,0
18.9,0
20.15,0
21.4,0
22.6,0
23.8,0
25,0
26.25,0
27.5,0
28.7,0
29.9,0
31.1,15.75
32.35,13.4889769375
33.6,12.0574535625
34.8,13.2430641875
36,13.13559925
37.2,14.1859846875
38.45,14.2276920625
39.7,14.2972896875
40.9,14.41905575
42.1,14.3420815855204
43.3,13.6890020625
44.55,12.7642288125
45.8,12.1221606875
47,11.8750117187471
48.2,12.2046871761718
49.4,12.5331674209163
50.65,12.7574387481403
51.9,12.9866933783267
53.1,12.8796667152499
54.3,12.8936511170639
55.5,12.9206750594937
56.75,12.9819958260031
58,13.1089714807714
59.2,13.3438914609729
60.4,13.6603872323064
61.65,13.9167324375987
62.9,14.077824015324
64.1,14.2691505720753
65.3,14.4955407477704
66.5,14.764958647438
67.75,15.1602603076952
69,15.6388690277828
70.2,16.1229705307426
71.4,16.4633859283465
72.6,16.9027153993212
73.85,17.221309
75.1,17.4608159081119
76.3,17.6433596341798
77.5,17.7315168032584
78.7,17.8127311872688
79.95,17.8520954005238
81.2,17.8535243188324
82.4,17.8042264646132
83.6,17.7205603125
84.8,17.6076578471843
86.05,17.4781345109327
87.3,17.3431342414178
88.5,17.2162566299867
89.7,17.1055298652649
90.9,16.9738153452308
92.15,16.897021481543
93.4,16.8493345256655
94.6,16.8372002558004
95.8,16.8501877373592
97.05,16.8520296479704
