Var1,Var2
0.6,10.286843
1.8,10.286843
3.05,10.202580050645
4.3,10.226179625
5.5,10.4381472970368
6.7,10.3639809375
7.9,10.3344955211239
9.15,10.207716625
10.4,9.8798088125
11.6,9.8376521875
12.8,9.49598099899525
14,9.2485245625
15.25,9.01601725
16.5,8.75941343514664
17.7,8.6475865
18.9,8.44314054828514
20.15,8.18938032765492
21.4,7.75297343824336
22.6,7.10206830103415
23.8,6.7961196019402
25,6.56119048470238
26.25,6.40776198361901
27.5,6.46903863274034
28.7,6.64344508913873
29.9,6.89884866221217
31.1,7.20260005065001
32.35,7.23173194206701
33.6,7.50919350229838
34.8,7.71660036665009
36,7.84626192313096
37.2,8.17569446284723
38.45,8.4549385625
39.7,8.61193153451712
40.9,8.76267611866194
42.1,8.96092829296415
43.3,9.12174393912803
44.55,9.239136002716
45.8,9.16183008454248
47,9.05145436213641
48.2,8.79449094862274
49.4,8.4369664375
50.65,8.20965947982974
51.9,7.86749769125115
53.1,7.60026872493282
54.3,7.3885364096341
55.5,7.18678342169586
56.75,6.9750936875
58,6.73340106664973
59.2,6.62423815644046
60.4,6.515266875
61.65,6.4982875625
62.9,6.53770084077563
64.1,6.62183996795999
65.3,6.66871356403517
66.5,6.74030856976857
67.75,6.66259173120414
69,6.66008912993315
70.2,6.728332005417
71.4,6.75657849835537
72.6,6.872634375
73.85,7.01790492854754
75.1,7.10642713428643
76.3,7.1629223125
77.5,7.16314091842954
78.7,6.95206655051664
79.95,6.68159451710137
81.2,6.179527125
82.4,5.57706216823446
83.6,5.05735623566094
84.8,4.4682619375
86.05,3.89337509834378
87.3,3.6122084375
88.5,3.33865923182962
89.7,3.2607983125
90.9,3.0716147945963
92.15,2.74272168931958
93.4,2.2176394375
94.6,1.9356850625
95.8,1.9068484375
97.05,1.88760096559976
